District,Year,Crop,Season,Area_ha,Avg_Temperature_C,Total_Rainfall_mm,Humidity_pct,Soil_Type,Soil_pH,N_kg_per_ha,P_kg_per_ha,K_kg_per_ha,Irrigation_pct,Yield
PALGHAR,2004,Cotton(lint),Kharif,118173.16,28.19,2252.5,78.93,Laterite,4.77,90.2,25.3,28.4,26.1,0.7036
PALGHAR,2011,Soyabean,Kharif,18353.23,25.49,2421.7,77.63,Laterite,6.15,78.6,16.0,42.0,24.9,2.9566
NANDURBAR,2009,Sugarcane,Whole Year,7829.92,26.84,399.9,56.12,Loam,7.36,115.6,53.8,55.0,37.3,89.1997
RAIGAD,2011,Cotton(lint),Kharif,11548.21,26.84,1829.0,81.89,Laterite,5.28,47.0,22.9,53.9,31.1,0.8465
NASHIK,2024,Bajra,Kharif,25220.58,26.27,439.2,53.78,Clay Loam,7.7,104.3,54.9,48.3,19.8,1.8885
BHANDARA,2007,Sugarcane,Whole Year,298.77,28.59,1085.9,54.6,Clay,7.19,95.4,43.5,21.6,20.0,92.6151
PUNE,2011,Soyabean,Kharif,52458.5,26.13,582.0,65.87,Clay Loam,6.77,126.7,40.6,41.2,37.8,2.0219
NANDURBAR,2012,Wheat,Rabi,2651.47,27.66,632.8,54.73,Clay Loam,7.87,84.2,60.0,43.6,28.7,2.4737
BULDHANA,2000,Groundnut,Kharif,924.9,26.54,1002.3,65.83,Clay,7.28,125.1,42.9,45.2,10.0,1.541
NASHIK,2002,Jowar,Rabi,4661.57,25.3,444.3,58.99,Clay Loam,6.96,114.4,35.8,54.6,22.3,2.4623
NANDED,2016,Groundnut,Kharif,1388.72,27.52,532.7,54.21,Clay,7.9,101.7,50.4,27.0,15.7,1.802
DHULE,2012,Cotton(lint),Kharif,467.81,28.25,361.5,62.88,Clay,6.5,108.0,54.2,49.9,29.2,0.6903
SANGLI,2019,Onion,Rabi,79.5,25.21,741.1,54.22,Clay Loam,6.75,158.6,60.0,37.4,36.9,22.1123
SATARA,2023,Jowar,Rabi,7800.15,28.27,793.6,65.82,Loam,7.09,120.4,43.4,52.0,27.3,2.4655
PALGHAR,2024,Soyabean,Kharif,4186.81,26.51,1994.8,68.75,Clay Loam,5.33,59.9,21.1,52.5,10.0,3.4226
NANDURBAR,2011,Jowar,Rabi,9007.16,29.5,850.1,49.99,Loam,7.15,98.3,55.7,47.8,32.8,2.6305
NANDED,2023,Sugarcane,Whole Year,5629.31,26.84,766.8,49.77,Clay,7.35,111.0,33.7,46.0,10.9,94.4115
AURANGABAD,2009,Soyabean,Kharif,15532.8,27.56,540.6,48.52,Clay Loam,7.58,112.9,32.8,30.2,25.6,2.177
SOLAPUR,2013,Groundnut,Kharif,1060.46,24.02,941.8,68.05,Loam,6.7,136.4,49.6,37.4,28.0,2.1576
AMRAVATI,2010,Bajra,Kharif,44492.02,26.24,788.2,53.04,Clay,6.79,97.9,39.1,25.7,22.3,1.5074
LATUR,2016,Onion,Rabi,3924.21,30.59,636.2,54.27,Clay,7.98,80.8,26.1,46.5,19.9,15.5436
JALNA,2009,Bajra,Kharif,4768.56,31.15,471.3,55.87,Clay,7.55,109.3,44.3,49.3,10.0,1.7125
OSMANABAD,2012,Rice,Kharif,3909.51,27.54,291.3,52.38,Clay Loam,7.99,99.1,45.9,28.1,33.7,3.7301
SATARA,2015,Soyabean,Kharif,508.43,28.67,1211.9,57.85,Clay,6.56,113.0,45.8,55.0,49.5,3.1801
GONDIA,2001,Gram,Rabi,4991.05,30.24,799.0,63.4,Sandy Loam,7.52,125.9,51.4,37.1,40.8,0.9529
GADCHIROLI,2017,Jowar,Rabi,55395.67,27.31,755.1,63.59,Clay,7.53,122.2,37.9,45.9,18.5,2.0469
SANGLI,2003,Cotton(lint),Kharif,986.72,24.3,516.7,62.37,Clay Loam,6.54,118.2,37.5,32.8,35.9,0.6619
WARDHA,2019,Jowar,Kharif,43563.65,30.27,899.8,58.01,Loam,6.2,123.7,51.3,37.1,44.3,2.9902
NASHIK,2001,Bajra,Kharif,56.99,26.11,546.6,49.39,Clay,7.04,115.6,52.9,44.6,22.6,1.3851
JALNA,2014,Jowar,Kharif,1799.77,29.2,461.5,40.42,Clay,7.79,78.8,33.6,49.9,12.9,2.2369
KOLHAPUR,2004,Jowar,Rabi,22151.82,28.62,387.4,64.87,Loam,6.76,125.8,30.4,41.5,67.0,2.5291
GADCHIROLI,2012,Jowar,Kharif,9875.73,29.02,713.1,63.1,Clay,7.26,115.4,52.0,39.1,26.3,2.4196
WASHIM,2003,Onion,Kharif,27.01,28.06,640.4,48.15,Clay,6.67,94.5,48.8,33.1,27.2,15.0241
SINDHUDURG,2002,Wheat,Rabi,29.46,27.66,1708.1,81.05,Sandy Loam,5.05,96.5,28.4,46.9,30.4,1.795
OSMANABAD,2017,Rice,Kharif,1300.89,26.53,665.6,61.85,Clay,7.85,104.0,45.5,38.2,23.7,4.2203
WARDHA,2023,Bajra,Kharif,2005.06,28.53,655.8,60.71,Clay,7.06,129.9,40.3,44.2,10.0,1.8837
NANDURBAR,2018,Jowar,Kharif,11531.74,28.33,939.6,54.93,Clay,7.61,117.5,43.2,34.2,18.4,2.5217
WARDHA,2014,Onion,Kharif,89.84,29.86,858.6,47.37,Loam,6.75,89.4,41.0,38.8,18.7,21.7332
YAVATMAL,2019,Bajra,Kharif,9441.38,29.87,753.7,58.43,Clay,6.83,115.6,44.1,22.8,17.8,1.7887
NASHIK,2003,Onion,Kharif,3289.24,29.0,544.4,65.85,Loam,7.57,107.6,45.6,31.7,25.4,14.5753
RAIGAD,2020,Wheat,Rabi,2969.94,26.69,2688.4,79.83,Laterite,5.75,74.7,24.4,44.5,38.3,2.5894
BHANDARA,2013,Sugarcane,Whole Year,5582.14,28.08,757.5,65.33,Clay,6.32,94.2,37.6,28.5,19.2,86.4689
BHANDARA,2010,Jowar,Kharif,30422.85,25.73,1134.3,56.08,Loam,7.29,87.5,48.3,42.3,16.3,2.2824
PALGHAR,2004,Cotton(lint),Kharif,95266.28,28.65,2590.1,86.8,Laterite,5.56,83.7,32.0,30.9,25.8,0.6691
PALGHAR,2015,Gram,Rabi,15893.67,25.79,1769.3,73.97,Sandy Loam,4.87,71.3,18.8,30.3,28.5,1.0105
AHMEDNAGAR,2008,Cotton(lint),Kharif,198.37,29.1,442.7,61.1,Clay,6.98,114.0,52.5,41.8,28.0,0.6713
MUMBAI,2005,Jowar,Kharif,63595.47,26.26,1718.5,77.64,Laterite,5.52,74.8,24.5,34.4,21.4,2.4769
WARDHA,2006,Soyabean,Kharif,1777.07,23.86,1104.4,55.03,Loam,7.12,135.7,55.3,26.5,19.5,2.0426
NAGPUR,2014,Gram,Rabi,69.71,31.19,1216.0,62.41,Clay,7.13,86.0,60.0,54.6,30.1,1.4613
PARBHANI,2005,Bajra,Kharif,58.64,26.21,789.8,51.11,Clay,7.67,91.9,36.5,35.2,20.6,1.35
SANGLI,2006,Soyabean,Kharif,7503.52,26.03,937.9,63.27,Clay Loam,6.81,95.8,46.1,46.3,44.6,1.8725
AHMEDNAGAR,2014,Bajra,Kharif,14695.03,27.15,398.6,62.24,Clay Loam,7.9,118.0,52.2,30.4,33.3,1.9348
PARBHANI,2009,Cotton(lint),Kharif,288.23,24.68,508.4,42.73,Clay,6.71,101.0,45.9,45.2,15.3,0.6909
AURANGABAD,2004,Bajra,Kharif,268.13,26.79,521.8,43.82,Clay Loam,7.83,78.9,30.7,30.1,18.0,1.5699
MUMBAI,2017,Sugarcane,Whole Year,569.43,27.74,2171.8,81.28,Laterite,5.46,60.6,26.4,17.4,19.6,108.3452
NANDED,2004,Bajra,Kharif,341.47,27.79,441.3,43.9,Clay Loam,7.62,101.8,47.7,40.2,14.4,1.5048
WARDHA,2001,Sugarcane,Whole Year,6654.38,29.5,69.5,53.33,Sandy Loam,7.23,86.7,44.0,46.8,20.3,77.0543
SANGLI,2000,Wheat,Rabi,2097.51,25.95,566.9,57.9,Clay,7.26,130.5,38.2,32.4,37.0,2.7948
YAVATMAL,2004,Groundnut,Kharif,2112.16,28.46,752.3,55.21,Sandy Loam,7.23,76.0,36.6,34.2,21.8,1.5582
NASHIK,2003,Cotton(lint),Kharif,1525.08,25.05,455.3,60.78,Clay Loam,7.81,125.1,49.4,38.3,34.2,0.6987
AKOLA,2024,Wheat,Rabi,166.8,29.21,788.2,57.76,Loam,6.5,88.0,38.1,48.2,12.4,2.5664
NANDURBAR,2016,Gram,Rabi,549.19,29.79,651.1,52.16,Clay,7.33,114.5,47.0,33.8,24.7,1.0958
OSMANABAD,2021,Sugarcane,Whole Year,4160.46,27.17,492.4,40.56,Clay Loam,7.64,78.2,45.7,40.6,19.3,74.4538
DHULE,2023,Rice,Kharif,7365.34,26.43,727.7,49.91,Clay Loam,7.15,104.6,49.5,51.3,30.3,3.8663
JALGAON,2002,Cotton(lint),Kharif,9590.98,28.61,581.8,41.26,Clay,7.59,108.7,48.6,53.9,26.8,0.8079
YAVATMAL,2017,Wheat,Rabi,17711.91,29.16,408.0,61.22,Loam,6.98,86.0,44.0,41.7,22.5,1.828
RATNAGIRI,2012,Bajra,Kharif,57.5,28.36,1909.4,80.87,Clay Loam,5.7,88.0,30.9,55.0,30.0,2.012
AURANGABAD,2008,Sugarcane,Whole Year,24003.39,27.6,728.8,64.52,Clay,7.94,124.8,14.7,45.6,17.9,77.6909
NAGPUR,2014,Sugarcane,Whole Year,36711.04,28.8,977.8,62.71,Clay,6.93,101.7,47.7,51.4,32.8,93.3812
AMRAVATI,2019,Jowar,Kharif,4410.93,27.16,756.4,52.4,Clay,6.96,121.1,27.0,36.7,38.5,2.7072
OSMANABAD,2006,Soyabean,Kharif,9534.54,27.44,545.7,56.38,Clay,7.52,97.9,41.6,50.9,10.8,2.0404
BEED,2022,Bajra,Kharif,19037.39,28.23,559.2,50.46,Clay,7.82,143.1,41.4,32.8,10.0,1.7876
OSMANABAD,2004,Groundnut,Kharif,13541.29,27.31,518.8,49.28,Clay Loam,7.81,90.9,39.3,42.6,22.1,1.5452
WASHIM,2017,Rice,Kharif,124.0,26.95,975.3,47.86,Clay,7.05,114.3,32.9,33.2,23.3,3.9271
PARBHANI,2003,Cotton(lint),Kharif,468.3,25.56,583.0,55.12,Clay,7.33,109.7,32.8,14.6,10.0,0.7334
NANDURBAR,2012,Soyabean,Kharif,2352.8,28.73,711.6,51.65,Clay,6.88,90.3,46.7,48.1,28.6,2.2686
BEED,2021,Bajra,Kharif,4779.1,29.89,574.1,51.6,Clay Loam,7.84,116.3,40.8,30.4,10.0,1.7214
OSMANABAD,2014,Wheat,Rabi,208.06,27.78,506.7,52.1,Clay,7.0,88.8,39.0,41.7,16.8,2.3613
GONDIA,2003,Jowar,Kharif,192.15,24.59,886.5,49.74,Clay,6.62,84.7,39.8,24.6,26.8,2.3417
WARDHA,2009,Jowar,Rabi,7324.69,28.26,846.1,58.51,Sandy Loam,7.19,119.0,27.9,47.1,22.7,2.4272
NANDURBAR,2020,Onion,Rabi,677.05,27.79,606.5,61.49,Clay Loam,7.26,134.3,49.1,39.1,38.6,24.5933
SINDHUDURG,2010,Groundnut,Kharif,2139.48,26.15,1502.5,69.27,Clay Loam,5.9,58.4,23.4,36.5,28.1,1.8174
BEED,2001,Onion,Kharif,4483.09,29.46,430.9,59.21,Clay,7.52,108.5,46.2,49.8,22.6,17.9275
JALGAON,2013,Jowar,Kharif,664.36,25.87,802.0,53.67,Loam,6.94,96.5,41.3,41.4,28.5,2.8196
WARDHA,2018,Onion,Rabi,3549.01,30.18,1022.1,54.76,Loam,7.16,85.5,38.6,42.2,18.4,20.9704
HINGOLI,2008,Sugarcane,Whole Year,1405.28,29.7,691.7,41.46,Clay,7.53,86.7,44.1,49.9,20.2,84.8716
NAGPUR,2019,Groundnut,Kharif,255.87,27.7,868.9,59.41,Clay,7.87,85.0,26.8,33.8,10.0,1.6196
GADCHIROLI,2017,Onion,Rabi,162.79,27.01,1256.9,62.89,Loam,7.77,125.0,32.0,40.9,10.0,22.3622
WASHIM,2021,Sugarcane,Whole Year,253.56,29.1,929.8,50.03,Loam,7.06,126.1,57.4,14.3,25.0,84.203
LATUR,2015,Gram,Rabi,103.31,26.89,613.8,44.59,Clay,7.33,95.0,31.8,33.1,19.9,1.0418
HINGOLI,2005,Rice,Kharif,1281.31,27.69,287.2,44.85,Clay,7.23,126.9,36.9,44.0,31.2,3.7175
AURANGABAD,2004,Soyabean,Kharif,2476.46,26.66,1023.8,59.62,Clay,7.23,105.3,28.4,30.2,22.9,2.3742
THANE,2005,Bajra,Kharif,86.87,27.59,1746.1,86.79,Clay Loam,5.4,53.3,13.9,45.8,22.0,1.7287
RAIGAD,2014,Onion,Rabi,209.32,26.44,1916.8,74.83,Laterite,5.57,86.8,14.6,36.2,39.9,21.5791
PUNE,2013,Onion,Kharif,26.62,24.56,695.2,59.78,Clay Loam,7.17,122.5,60.0,53.3,35.9,24.2512
NANDED,2014,Cotton(lint),Kharif,134.58,29.33,563.8,51.43,Clay,7.47,115.5,45.4,50.4,27.7,0.9
THANE,2020,Groundnut,Kharif,33251.7,28.27,2401.4,78.28,Laterite,5.89,88.6,23.9,36.4,30.4,2.667
LATUR,2002,Soyabean,Kharif,370.98,29.28,710.7,47.45,Clay Loam,7.53,120.1,45.9,40.8,30.2,2.357
JALGAON,2018,Wheat,Rabi,8025.66,25.19,587.9,66.13,Clay,7.16,111.6,36.2,31.7,25.4,2.7049
MUMBAI,2022,Jowar,Kharif,8544.65,29.2,1796.2,72.18,Laterite,4.91,112.1,23.2,26.8,35.7,3.2402
BEED,2013,Wheat,Rabi,72.51,28.28,628.4,50.35,Clay,7.68,100.8,43.1,21.5,20.2,2.8252
SANGLI,2012,Bajra,Kharif,36389.6,26.03,642.9,60.34,Clay,7.12,119.6,37.4,55.0,50.2,1.7476
SATARA,2004,Groundnut,Kharif,267.23,24.2,590.5,59.78,Clay Loam,6.65,130.5,60.0,34.1,33.1,1.6416
HINGOLI,2003,Onion,Kharif,10202.21,31.83,379.9,54.23,Clay Loam,7.34,100.6,50.6,44.0,15.7,14.1341
NASHIK,2001,Jowar,Rabi,377.08,27.73,681.8,60.48,Clay Loam,7.68,112.4,40.0,39.1,44.4,2.5704
PARBHANI,2002,Cotton(lint),Kharif,117.53,28.28,413.9,47.67,Clay,7.5,106.7,39.6,28.2,10.0,0.6742
BHANDARA,2000,Sugarcane,Whole Year,34006.3,29.73,805.1,52.21,Clay,6.55,81.5,52.1,37.7,28.6,76.3943
NANDURBAR,2022,Groundnut,Kharif,30521.78,26.87,763.7,59.52,Clay Loam,6.82,143.2,45.6,48.8,27.0,2.0906
OSMANABAD,2013,Bajra,Kharif,673.01,27.72,816.8,48.68,Clay Loam,7.57,97.9,40.4,31.7,16.3,1.7285
HINGOLI,2015,Bajra,Kharif,1787.24,28.55,510.5,48.79,Clay,7.73,117.6,34.3,40.5,33.7,2.0352
LATUR,2017,Rice,Kharif,888.65,28.08,869.2,35.56,Clay Loam,7.73,103.0,38.4,40.9,20.2,3.9081
AKOLA,2007,Gram,Rabi,51.78,26.4,477.7,51.68,Clay,7.13,100.5,51.9,24.1,16.8,0.8343
JALGAON,2008,Sugarcane,Whole Year,255.4,30.44,354.8,56.82,Clay,7.04,125.0,44.4,22.2,26.9,107.1261
GADCHIROLI,2000,Rice,Kharif,5351.92,28.65,932.9,59.65,Clay,6.35,74.4,52.0,24.1,24.9,3.5962
NANDURBAR,2012,Cotton(lint),Kharif,4360.75,28.21,395.2,53.24,Clay Loam,7.53,121.4,41.6,53.4,31.2,0.7279
JALGAON,2014,Rice,Kharif,134.42,27.64,339.5,49.33,Clay,7.51,92.2,27.5,25.0,41.0,3.6625
AMRAVATI,2007,Soyabean,Kharif,642.86,26.4,1183.2,65.33,Clay,6.33,110.7,32.8,33.7,32.6,2.5699
SANGLI,2002,Onion,Kharif,57.61,25.51,852.5,55.95,Clay,7.44,116.2,49.3,45.5,49.9,13.6691
NANDURBAR,2009,Groundnut,Kharif,412.83,27.16,352.1,50.87,Clay,7.65,89.8,40.2,49.4,21.3,1.6423
PALGHAR,2012,Onion,Kharif,6764.69,28.61,2508.9,86.52,Laterite,5.14,64.7,20.8,34.2,18.1,22.0149
MUMBAI,2001,Rice,Kharif,36367.7,26.35,2360.0,81.52,Laterite,5.08,84.9,34.8,36.8,30.3,5.2038
PARBHANI,2018,Onion,Kharif,25.07,29.0,508.5,29.39,Clay Loam,8.06,104.7,43.4,37.1,10.9,18.1174
YAVATMAL,2001,Bajra,Kharif,271.55,27.87,1095.1,54.34,Clay,7.36,95.1,29.5,29.5,25.4,1.5558
OSMANABAD,2011,Gram,Rabi,5638.65,30.36,504.8,44.26,Clay Loam,7.61,104.5,33.1,35.5,14.1,1.0444
THANE,2014,Gram,Rabi,1449.0,27.98,2906.2,87.98,Laterite,5.64,53.1,19.8,55.0,22.9,1.1363
NAGPUR,2019,Onion,Rabi,11545.63,27.24,607.6,60.05,Loam,7.26,89.4,32.1,27.2,14.2,15.8387
THANE,2008,Jowar,Rabi,1421.88,26.6,2192.4,76.88,Sandy Loam,5.5,61.4,21.3,48.4,35.7,2.0487
WARDHA,2005,Bajra,Kharif,1025.72,26.88,1199.0,61.61,Clay,6.49,113.8,30.5,25.0,16.4,1.9412
PARBHANI,2015,Groundnut,Kharif,83.5,27.46,895.0,53.83,Clay Loam,7.68,89.6,37.8,48.2,27.4,1.7
WARDHA,2021,Jowar,Rabi,33020.25,32.02,795.2,58.96,Loam,6.46,110.8,38.2,42.3,29.1,2.9817
NASHIK,2004,Sugarcane,Whole Year,62865.24,25.81,516.3,55.01,Clay,7.03,100.8,50.4,44.0,30.5,76.3922
AHMEDNAGAR,2003,Onion,Kharif,945.69,30.96,515.7,60.45,Clay,7.18,92.6,51.8,26.4,10.0,20.9241
BEED,2009,Sugarcane,Whole Year,37150.94,28.4,313.6,50.5,Clay,8.05,77.2,45.2,42.9,14.2,73.7946
HINGOLI,2013,Rice,Kharif,68.21,29.3,652.4,50.31,Clay,7.7,95.7,25.6,29.6,10.0,3.458
AURANGABAD,2023,Bajra,Kharif,2691.66,24.79,455.7,44.3,Clay,7.87,95.6,50.6,42.8,29.0,1.97
JALNA,2008,Rice,Kharif,199.58,28.76,559.3,56.39,Clay,7.36,100.1,45.4,40.2,24.6,3.6529
AKOLA,2019,Rice,Kharif,41555.58,30.22,1183.2,61.76,Clay,7.45,122.7,26.4,37.0,28.8,4.13
BHANDARA,2013,Wheat,Rabi,14450.51,30.86,1156.9,51.73,Clay,5.71,138.4,46.0,36.1,18.2,2.7809
JALGAON,2002,Jowar,Rabi,8944.11,27.52,167.7,59.19,Clay Loam,7.41,96.3,49.9,38.8,46.2,2.4666
THANE,2015,Cotton(lint),Kharif,480.58,23.85,2119.1,79.02,Laterite,5.89,90.6,25.1,35.4,29.6,0.9
BEED,2003,Groundnut,Kharif,13335.46,27.87,589.6,51.86,Clay,7.5,92.8,41.2,43.5,20.7,1.3011
AMRAVATI,2017,Cotton(lint),Kharif,109.39,28.1,710.6,57.94,Clay,6.81,87.1,48.0,17.8,19.7,0.789
BEED,2018,Cotton(lint),Kharif,9324.49,29.19,645.3,52.53,Clay,7.43,105.0,43.6,48.0,21.8,0.6757
AURANGABAD,2003,Jowar,Rabi,17106.9,27.8,563.0,41.37,Clay Loam,7.21,99.9,35.7,36.7,17.0,2.2302
GADCHIROLI,2017,Jowar,Rabi,1276.47,26.52,1337.0,53.23,Clay,6.04,106.1,48.5,38.1,19.8,2.4656
JALNA,2014,Sugarcane,Whole Year,833.36,29.66,288.0,44.16,Clay,7.53,109.5,45.3,39.0,23.2,85.0028
DHULE,2009,Sugarcane,Whole Year,20720.15,25.5,767.0,54.93,Loam,7.04,96.4,50.9,55.0,32.1,94.4497
NAGPUR,2001,Jowar,Kharif,502.65,27.11,709.8,52.23,Sandy Loam,6.83,113.9,35.2,29.5,27.5,2.7095
YAVATMAL,2014,Sugarcane,Whole Year,2319.97,26.39,737.4,58.36,Clay,7.48,122.6,30.1,28.3,10.0,77.4668
PARBHANI,2012,Groundnut,Kharif,125.53,28.45,706.2,48.36,Clay,7.98,112.8,34.6,51.4,24.6,1.5197
BULDHANA,2010,Wheat,Rabi,876.24,26.6,945.0,51.13,Clay,6.37,102.3,34.0,41.9,21.8,2.6782
PARBHANI,2013,Sugarcane,Whole Year,21329.76,27.06,747.3,55.34,Clay Loam,7.83,106.6,31.0,42.9,15.6,81.2334
NANDURBAR,2001,Jowar,Rabi,2673.5,25.19,197.3,54.22,Clay,7.29,102.2,51.7,35.9,41.7,1.9383
PARBHANI,2002,Gram,Rabi,392.55,29.3,441.5,48.2,Clay,7.26,93.2,40.3,40.4,10.0,0.97
RAIGAD,2018,Jowar,Rabi,658.02,26.42,2139.4,81.71,Laterite,5.14,80.9,6.2,43.7,27.6,2.5831
SINDHUDURG,2017,Bajra,Kharif,22984.16,27.44,2551.6,82.63,Sandy Loam,5.62,68.7,23.3,55.0,17.5,1.9095
MUMBAI,2014,Onion,Kharif,631.06,24.49,3127.8,86.73,Clay Loam,5.22,72.6,26.2,55.0,29.5,24.1141
AMRAVATI,2015,Sugarcane,Whole Year,5379.15,26.79,1138.9,49.93,Clay,5.99,91.9,47.5,44.1,19.8,91.7814
THANE,2012,Groundnut,Kharif,220.97,27.55,1240.8,80.82,Sandy Loam,5.32,79.4,27.8,20.5,25.8,2.0734
NASHIK,2008,Cotton(lint),Kharif,46582.7,26.65,283.9,61.32,Clay,7.1,123.9,49.2,47.6,40.7,0.6982
PUNE,2013,Onion,Rabi,270.76,27.68,888.2,62.11,Clay Loam,5.92,136.1,34.5,55.0,54.0,20.8451
AMRAVATI,2018,Onion,Rabi,8235.37,29.62,830.9,56.3,Clay,7.31,105.9,26.8,32.8,46.0,20.0637
BHANDARA,2000,Gram,Rabi,30897.87,25.07,1381.3,54.61,Clay,8.09,82.1,52.9,55.0,23.9,1.3775
BULDHANA,2003,Bajra,Kharif,4613.5,27.89,927.3,64.38,Clay,7.0,119.4,28.9,30.2,18.5,1.7727
SINDHUDURG,2004,Gram,Rabi,26059.77,25.3,2696.6,70.44,Laterite,5.64,69.6,28.0,49.1,32.6,1.4339
BULDHANA,2022,Groundnut,Kharif,659.36,27.72,888.0,67.2,Clay,6.5,127.2,51.3,29.7,18.7,1.9919
BULDHANA,2005,Groundnut,Kharif,87.91,30.14,1330.3,58.03,Sandy Loam,6.03,114.9,60.0,27.7,10.0,1.9881
NANDED,2023,Wheat,Rabi,375.52,28.86,582.5,41.84,Clay Loam,7.75,121.0,32.8,33.1,13.7,2.9986
NASHIK,2000,Bajra,Kharif,623.01,30.27,591.5,59.7,Loam,7.17,125.0,60.0,39.6,33.5,1.7308
KOLHAPUR,2004,Cotton(lint),Kharif,25863.74,23.48,638.5,59.26,Loam,6.79,118.0,37.9,42.2,40.1,0.6971
PARBHANI,2019,Wheat,Rabi,1449.45,26.45,585.7,54.01,Clay Loam,7.94,100.5,34.4,51.7,18.8,2.4368
PARBHANI,2018,Gram,Rabi,509.51,28.33,681.5,50.44,Clay,7.99,74.6,48.5,52.2,21.8,1.5558
PARBHANI,2005,Bajra,Kharif,8104.71,29.98,496.3,49.06,Clay,7.65,74.2,52.3,27.6,19.7,1.145
SOLAPUR,2000,Jowar,Kharif,465.61,27.81,796.3,59.61,Clay,6.98,133.9,41.4,55.0,30.9,3.0217
OSMANABAD,2011,Soyabean,Kharif,1062.27,27.39,649.4,56.0,Clay Loam,7.81,103.9,47.2,28.5,19.6,2.5226
KOLHAPUR,2002,Bajra,Kharif,26668.91,25.26,657.5,74.48,Clay Loam,7.47,108.3,45.1,34.4,56.9,1.691
CHANDRAPUR,2007,Gram,Rabi,18952.75,30.4,168.5,58.19,Clay,7.77,95.5,51.6,49.5,20.8,0.9924
MUMBAI,2023,Bajra,Kharif,30523.3,23.45,2107.8,80.21,Laterite,6.63,105.9,28.4,48.5,33.0,2.0669
NANDURBAR,2013,Gram,Rabi,549.24,25.62,628.7,42.12,Clay,6.51,144.9,43.8,34.2,24.9,1.3635
AMRAVATI,2014,Rice,Kharif,145.82,26.34,1170.3,54.51,Loam,6.96,94.9,49.3,26.5,42.7,4.4379
SANGLI,2024,Gram,Rabi,100.19,24.93,1042.7,61.71,Clay,6.47,111.9,32.7,44.2,54.8,1.5658
OSMANABAD,2004,Sugarcane,Whole Year,1374.45,28.45,484.5,50.06,Clay Loam,7.34,115.5,33.3,41.5,11.7,86.2594
RATNAGIRI,2014,Rice,Kharif,60.34,27.93,1811.9,77.66,Sandy Loam,5.6,35.2,31.1,55.0,26.5,5.1283
NANDURBAR,2006,Bajra,Kharif,93.01,24.68,593.5,63.81,Clay,7.28,111.7,48.8,48.8,34.3,1.4095
NASHIK,2017,Cotton(lint),Kharif,106979.16,28.39,879.9,49.04,Clay Loam,7.9,106.9,55.0,31.4,50.4,0.8236
NAGPUR,2021,Groundnut,Kharif,21792.91,28.25,706.8,57.08,Clay,6.47,101.2,39.1,34.6,33.2,1.9039
BEED,2013,Soyabean,Kharif,2504.31,29.09,650.9,49.74,Clay,7.73,127.0,35.7,42.7,24.0,2.4939
OSMANABAD,2016,Sugarcane,Whole Year,299.27,30.03,838.1,55.78,Clay,7.72,97.9,31.5,41.0,13.3,80.396
BHANDARA,2004,Soyabean,Kharif,580.32,27.67,684.7,66.5,Sandy Loam,6.39,118.3,32.9,36.2,26.7,1.6801
OSMANABAD,2002,Gram,Rabi,240.26,25.16,498.2,53.38,Clay Loam,7.33,103.1,47.5,28.4,18.4,1.0655
JALGAON,2017,Cotton(lint),Kharif,354.53,27.69,572.3,61.9,Clay Loam,6.73,121.5,50.6,41.6,30.3,0.7599
NANDURBAR,2009,Cotton(lint),Kharif,64479.36,25.44,343.3,52.49,Loam,7.84,120.9,41.6,35.5,25.6,0.7634
BEED,2013,Rice,Kharif,407.69,29.92,445.7,62.41,Clay,7.56,89.6,34.7,45.9,21.8,3.9666
BEED,2000,Jowar,Rabi,154.5,28.76,523.5,47.17,Clay,7.45,86.7,26.1,49.7,16.5,2.2546
NASHIK,2014,Rice,Kharif,8158.38,28.39,538.1,57.43,Clay Loam,6.97,145.5,37.6,36.5,29.4,4.1564
HINGOLI,2017,Wheat,Rabi,4938.56,27.09,446.9,53.17,Clay,8.13,134.0,47.1,21.5,14.9,2.9165
CHANDRAPUR,2003,Cotton(lint),Kharif,232.58,27.57,1017.3,57.02,Clay,6.91,121.0,36.6,42.3,29.6,0.67
BULDHANA,2023,Soyabean,Kharif,5063.12,29.83,1409.8,61.42,Sandy Loam,7.18,120.5,44.8,39.4,28.6,2.6342
WASHIM,2011,Jowar,Rabi,19033.18,26.75,613.8,60.35,Clay,6.27,89.0,28.3,47.4,16.9,2.6658
KOLHAPUR,2017,Groundnut,Kharif,62.11,28.62,1027.7,61.43,Clay,6.65,109.7,34.9,36.6,34.8,2.1418
GADCHIROLI,2024,Rice,Kharif,47837.57,27.94,1187.3,59.93,Sandy Loam,7.11,111.5,34.6,38.2,24.8,4.893
CHANDRAPUR,2017,Groundnut,Kharif,6985.95,30.35,758.2,61.96,Loam,7.26,106.3,21.3,40.4,27.2,1.8994
THANE,2020,Onion,Rabi,1453.59,31.05,1709.6,82.03,Sandy Loam,5.29,81.9,24.5,36.2,17.1,20.9643
NANDURBAR,2018,Sugarcane,Whole Year,27332.21,26.96,483.5,52.3,Loam,7.06,94.6,48.9,38.4,19.7,83.2848
DHULE,2002,Gram,Rabi,279.19,27.27,339.5,53.46,Clay,8.07,126.8,49.0,33.2,10.3,1.0825
RAIGAD,2005,Cotton(lint),Kharif,4033.37,26.68,3385.9,75.38,Sandy Loam,6.1,77.1,30.0,39.9,28.8,0.9
